game,rate,genre,review1,tag1,tag2,tag3,tag4,tag5
WWE 2K22,1255630,7,Simulation Games,Simulation,Sports,PvP,Multiplayer,Wrestling
ROUNDS,1557740,10,Indie Games,Multiplayer,Fighting,Local Multiplayer,2D Fighter,
Assetto Corsa,244210,9,Racing Games,Racing,Automobile Sim,Simulation,Driving,
Spiritfarer®: Farewell Edition,972660,10,Simulation Games,Emotional,Story Rich,Indie,Building,
FOR HONOR™,304390,6,Action Games,Medieval,Action,Swordplay,Multiplayer,PvP
Little Nightmares,424840,9,Adventure Games,Horror,Atmospheric,Adventure,Singleplayer,
DOOM,379720,10,Action Games,FPS,Gore,Action,Shooter,Demons
OCTOPATH TRAVELER™,921570,9,RPG Games,RPG,JRPG,Pixel Graphics,Turn-Based,
ANNO: Mutationem,1368030,7,Adventure Games,RPG,Female Protagonist,Cyberpunk,,
Fallout: New Vegas,22380,10,Action Games,Open World,RPG,Post-apocalyptic,Singleplayer,
SOULCALIBUR VI,544750,9,Action Games,Fighting,Action,Character Customization,,
Katana ZERO,460950,10,Indie Games,Pixel Graphics,Action,Great Soundtrack,,
DRAGON BALL FighterZ,678950,9,Action Games,Fighting,Anime,Action,2D Fighter,Multiplayer
A Hat in Time,253230,10,Adventure Games,Cute,3D Platformer,Collectathon,,
Death's Door,894020,9,Indie Games,Action,Adventure,RPG,Action-Adventure,
Puyo Puyo™Tetris®,546050,9,Casual Games,Puzzle,Casual,Competitive,Multiplayer,Action
Orcs Must Die! 3,1522820,9,Action Games,Tower Defense,Co-op,Strategy,,PvE
Yakuza 6: The Song of Life,1388590,9,Action Games,Action,Adventure,RPG,Beat 'em up,
Princess Maker 2 Refine,523000,9,Simulation Games,Simulation,Multiple Endings,RPG,,Anime
NARUTO TO BORUTO: SHINOBI STRIKER,633230,9,Action Games,Anime,Action,Multiplayer,,Fighting
Tricky Towers,437920,9,Indie Games,Party Game,Puzzle,Physics,Casual,Building
Onmyoji,551170,9,Adventure Games,RPG,Free to Play,Anime,Strategy,
DRAMAtical Murder,1481080,10,Adventure Games,LGBTQ+,Visual Novel,Romance,Anime,
Super Bunny Man,673750,9,Indie Games,Funny,Co-op,Multiplayer,Indie,Online Co-Op
Songs of Conquest,867210,9,Strategy Games,Early Access,Adventure,Strategy,,
Dragon's Dogma: Dark Arisen,367500,9,Action Games,RPG,Open World,Character Customization,,
Sakuna: Of Rice and Ruin,1356670,9,Action Games,Action,Farming Sim,Story Rich,,Side Scroller
The Legend of Heroes: Sen no Kiseki III,1450080,9,RPG Games,RPG,Singleplayer,JRPG,Turn-Based Combat,
Pavlov VR,555160,9,Early Access Games,VR,Action,Shooter,Multiplayer,FPS
VA-11 Hall-A: Cyberpunk Bartender Action,447530,10,Adventure Games,Cyberpunk,Visual Novel,Pixel Graphics,,
Turmoil,361280,9,Simulation Games,Simulation,Strategy,Management,Indie,
Portal,400,10,Action Games,Puzzle,Puzzle Platformer,First-Person,,
Farming Simulator 22,1248130,9,Simulation Games,Simulation,Co-op,Farming Sim,Agriculture,
